step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
<<<<<<< HEAD
5.0,1,0.0,0.0,3.4617073009256267,0,0.0,0.3997418906853203,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,1,0.0
10.0,0,0.0,0.0,8.263469527377781,0,0.0,0.5838520328493273,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6271427319222821,0,0.0
15.0,1,0.0,0.0,5.985357696848144,0,0.0,0.8668110449216269,1,0.0,0.0,0,0.0,0.3499471938743415,0,0.0,0.41027484087688015,1,0.0
20.0,0,0.0,0.0,8.347511646487337,0,0.0,0.276595523769338,0,0.0,0.6810219964362052,0,0.0,0.6434795289005594,0,0.0,0.5039096627218029,0,0.0
25.0,3,7.0,0.5384615384615384,6.307062308844905,2,5.0,0.30909314190076576,0,0.0,1.0,0,0.0,0.6077502603006185,1,2.0,0.44273188495902494,3,7.0
30.0,2,3.0,0.2,6.179261848269349,0,0.0,0.6305949628337894,0,0.0,1.0,1,1.0,0.16104177334403078,1,2.0,0.45466695966274945,2,3.0
35.0,3,12.0,0.75,7.541561073832008,1,5.0,0.5590167957628035,0,4.0,0.7228112276724858,0,0.0,0.8689916717118199,2,9.0,0.3428732152444431,3,18.0
40.0,2,4.0,0.23529411764705882,6.202508001062652,1,5.0,0.4721158079865927,0,4.0,0.4187627169341991,1,1.0,0.2259017471534414,0,3.0,0.35534174136970764,2,13.0
45.0,2,8.0,0.4444444444444444,7.722347059478604,1,8.0,0.0,0,2.0,0.6645094820522183,1,2.0,0.6268223165053282,0,0.0,0.335464129057506,2,12.0
50.0,1,3.0,0.16666666666666666,7.251462487403874,0,2.0,0.9397745909390851,1,5.0,0.10638978946137219,0,2.0,0.37239990004094947,0,0.0,0.8916980497959791,1,9.0
55.0,1,1.0,0.05555555555555555,6.399913183260257,0,4.0,0.331207437022525,0,3.0,0.5695768798000945,0,0.0,0.5448613234121529,1,1.0,0.31985622687905363,1,8.0
60.0,2,5.0,0.2631578947368421,7.821780171438926,0,2.0,0.4919297525596287,1,5.0,0.47125706019442176,0,0.0,0.6886332164840556,0,0.0,0.5926826865046617,1,7.0
65.0,4,8.0,0.4,7.2557588879682795,2,4.0,6.658478912584935e-06,1,9.0,0.5891542843334512,0,0.0,0.593818688456121,1,9.0,0.49077444040452217,4,22.0
70.0,6,24.0,1.2,5.658086718916989,1,0.0,0.38955393747436984,1,12.0,0.006287718968048338,0,0.0,0.5688901151343316,4,24.0,0.33757383082951126,6,36.0
75.0,3,2.0,0.09523809523809523,5.438074459928509,0,0.0,0.4621412849602339,0,0.0,0.5468452958247607,1,0.0,0.4351109427956869,1,21.0,0.1937813767928579,2,21.0
80.0,6,17.0,0.8095238095238095,6.352959410848609,1,0.0,0.6319264295004005,0,2.0,0.9569879596735852,2,7.0,0.28553231440908206,2,25.0,0.18426026013011654,5,34.0
85.0,4,4.0,0.17391304347826086,6.885916764602753,2,1.0,0.4456726430946183,0,2.0,0.048073106012543165,0,5.0,0.460783948249173,2,21.0,0.3835047482013622,4,29.0
90.0,3,17.0,0.8095238095238095,5.965204157499704,0,0.0,0.47823350467633374,0,0.0,0.11438586906424664,0,0.0,0.4824773276098333,3,31.0,0.12044808094811088,3,31.0
95.0,1,4.0,0.19047619047619047,7.579014479490062,1,4.0,0.41496866538346433,0,4.0,0.6770778986532408,0,0.0,0.4119992061118057,0,16.0,0.3209805306959938,1,24.0
100.0,1,5.0,0.2631578947368421,7.568271454388501,0,0.0,0.6056381876267785,0,4.0,0.39063603676473885,1,5.0,0.4863538127926288,0,3.0,0.7114357997113218,1,12.0
105.0,2,8.0,0.4,9.415503372995506,0,0.0,0.7389681757587363,1,7.0,0.5208138961169677,1,3.0,0.4345590743430977,0,2.0,0.6777285601099522,2,12.0
110.0,4,14.0,0.7,7.812832800108232,0,0.0,0.556279847160754,1,1.0,0.5355486149049444,2,12.0,0.3220008918703046,1,5.0,0.44651057600619143,4,18.0
115.0,5,13.0,0.65,7.056515647629742,1,6.0,0.46976927918678335,3,8.0,0.382171481139095,0,0.0,0.19972405514197097,0,4.0,0.6346541108114874,4,18.0
120.0,2,7.0,0.35,6.301969442382506,0,5.0,0.6292848660393635,1,9.0,0.5034408338969153,0,0.0,0.6743649679757748,1,7.0,0.23856569608953235,2,21.0
125.0,3,12.0,0.5454545454545454,6.544258752287905,1,7.0,0.3823071586542695,1,7.0,0.2810285839655136,0,1.0,0.5347633160677601,1,2.0,0.37258508194176443,3,17.0
130.0,4,13.0,0.6190476190476191,7.1644301319151165,1,1.0,0.20031875682534772,0,0.0,1.0,1,6.0,0.4774957667244647,1,8.0,0.5233924459995146,3,15.0
